-0.0397727,0.119264,0.856308,0.890078
-0.112741,0.253593,11.6981,0.858292
-0.078568,0.252124,13.1612,0.840569
0.00757246,0.244154,14.5526,0.823714
-0.00328564,0.238635,14.157,0.828507
-0.10829,0.240883,13.4748,0.836771
-0.0266659,0.240149,13.6167,0.835052
-0.0533509,0.209237,12.7293,0.845801
-0.00119039,0.244168,13.1743,0.840411
-0.0337364,0.203978,16.6682,0.798087
0.0552385,0.213729,15.3206,0.814411
-0.0286307,0.21746,19.0518,0.769212
-0.0228316,0.247622,13.5248,0.836164
-0.00355828,0.222072,13.3918,0.837776
-0.0741005,0.22036,15.9401,0.806907
0.030853,0.15756,11.8865,0.856011
0.02229,0.184496,11.8551,0.856392
-0.10169,0.195655,14.9705,0.818652
-0.0218856,0.19744,12.6459,0.846812
-0.0639321,0.207626,15.1008,0.817074
-0.0937005,0.197121,12.6671,0.846555
0.0539669,0.242755,15.1564,0.8164
-0.0263569,0.203312,12.3549,0.850336
-0.0642,0.189792,12.9089,0.843625
0.00750446,0.237811,16.4442,0.8008
-0.0224863,0.198357,13.5803,0.835492
-nan(ind),0,0.305968,0.507668
-nan(ind),0,0.274965,0.557555
-nan(ind),0,0.462843,0.223667
-nan(ind),0,4.59961,0.555692
-nan(ind),0,4308.86,-0.0976571
-nan(ind),0,12.116,0.853231
-nan(ind),0,12.0456,0.854083
-nan(ind),0,32175.5,0.599057
-nan(ind),0,0.729914,-0.204986
-nan(ind),0,0.817166,-0.0352069
-0.00616442,0.0714915,0.19521,0.806044
-0.00802355,0.0733451,0.191765,0.809467
-0.0874863,0.249813,29841.3,0.741777
0.241889,0.185888,0.391527,0.522197
0.104665,0.172567,0.351833,0.460435
0.291942,0.368464,0.0428773,0.928538
0.0213385,0.282912,1937.45,-0.754595
0.137117,0.171496,5.72562,0.478519
0.13456,0.142192,5.70269,0.480607
0.333055,0.394545,0.0495259,0.917457
-0.150374,0.26567,29182.3,0.74748
0.0703958,0.159311,0.343885,0.472623
0.254763,0.17909,0.387653,0.526925
0.240789,0.17436,0.390157,0.52387
